,cmaes__f__n_neighbors,cmaes__s__n_gen,cmaes__transformer,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,1,50,diagonal,,1,0.995,1.0,1.0,1.0,1.0,0.975,1.0,1.0,1.0,1.0,0.975,0.010000000000000009,0.003984856605529785,0.9388383626937866,0.0006766796112060546,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,gaussians
1,1,100,diagonal,,1,0.9875,1.0,1.0,1.0,1.0,0.975,0.975,0.975,1.0,0.95,1.0,0.016770509831248438,0.00796971321105957,2.4402815103530884,0.0012490272521972657,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,gaussians
2,1,250,diagonal,,1,0.9925,1.0,1.0,1.0,1.0,0.975,1.0,1.0,1.0,1.0,0.95,0.016007810593582136,0.011954569816589355,6.033461427688598,0.0018209218978881836,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,gaussians
3,4,50,diagonal,,1,0.9825,1.0,1.0,0.975,0.975,0.95,0.975,0.975,1.0,1.0,0.975,0.01600781059358214,0.01593942642211914,6.79609067440033,0.002394580841064453,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,gaussians
4,4,100,diagonal,,1,0.99,1.0,1.0,1.0,1.0,0.975,0.975,0.975,1.0,1.0,0.975,0.012247448713915901,0.019924283027648926,8.33506989479065,0.002941608428955078,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,gaussians
5,4,250,diagonal,,1,0.99,1.0,1.0,1.0,1.0,0.975,0.975,1.0,1.0,1.0,0.95,0.016583123951777013,0.02390913963317871,12.182356476783752,0.0034949064254760744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,gaussians
6,8,50,diagonal,,1,0.985,1.0,1.0,1.0,1.0,0.975,0.925,0.975,1.0,1.0,0.975,0.022912878474779193,0.027893996238708495,12.977009582519532,0.004051661491394043,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,gaussians
7,8,100,diagonal,,1,0.985,1.0,1.0,1.0,1.0,0.95,0.95,0.975,1.0,1.0,0.975,0.020000000000000018,0.03187885284423828,14.57805917263031,0.004600167274475098,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,gaussians
8,8,250,diagonal,,1,0.99,1.0,1.0,1.0,1.0,0.975,1.0,1.0,0.95,1.0,0.975,0.016583123951777013,0.035863709449768064,18.579886841773988,0.005147528648376465,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,gaussians
9,1,50,diagonal,,2,0.9875,1.0,1.0,1.0,1.0,0.975,0.95,0.975,1.0,1.0,0.975,0.016770509831248438,0.03984856605529785,19.518725204467774,0.005699872970581055,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9972222222222222,0.9888888888888889,1.0,0.9916666666666667,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.002777777777777768,stand+CMAES+kNN,gaussians
10,1,100,diagonal,,2,0.9825,1.0,1.0,1.0,1.0,0.975,0.975,0.975,1.0,0.925,0.975,0.02249999999999999,0.04383342266082764,21.020168352127076,0.006245326995849609,0.9952777777777778,0.9916666666666667,0.9972222222222222,0.9972222222222222,0.9916666666666667,0.9972222222222222,0.9972222222222222,1.0,0.9916666666666667,0.9916666666666667,0.9972222222222222,0.003055555555555545,stand+CMAES+kNN,gaussians
11,1,250,diagonal,,2,0.985,1.0,1.0,1.0,1.0,0.975,0.95,0.975,1.0,1.0,0.95,0.020000000000000018,0.04781827926635742,24.613348269462584,0.006791400909423828,0.9952777777777778,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9916666666666667,1.0,0.9972222222222222,0.9916666666666667,0.9972222222222222,0.9944444444444445,0.9888888888888889,0.003298428357510521,stand+CMAES+kNN,gaussians
12,4,50,diagonal,,2,0.9775,1.0,1.0,0.975,0.925,0.975,0.95,0.975,1.0,1.0,0.975,0.023584952830141503,0.05180313587188721,25.375977516174316,0.007335686683654785,0.9955555555555555,0.9972222222222222,0.9972222222222222,0.9944444444444445,0.9944444444444445,0.9972222222222222,0.9944444444444445,0.9972222222222222,0.9972222222222222,0.9944444444444445,0.9916666666666667,0.0018425693279752156,stand+CMAES+kNN,gaussians
13,4,100,diagonal,,2,0.9875,1.0,1.0,1.0,1.0,0.975,0.925,0.975,1.0,1.0,1.0,0.02304886114323221,0.05578799247741699,26.914956736564637,0.007879376411437988,0.9958333333333333,0.9944444444444445,0.9944444444444445,0.9972222222222222,0.9944444444444445,1.0,0.9972222222222222,1.0,0.9972222222222222,0.9916666666666667,0.9916666666666667,0.002846375212766545,stand+CMAES+kNN,gaussians
14,4,250,diagonal,,2,0.9825,1.0,1.0,1.0,1.0,0.975,0.975,0.95,0.975,0.975,0.975,0.016007810593582136,0.05977284908294678,30.76224331855774,0.008424139022827149,0.9958333333333333,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9972222222222222,0.9972222222222222,0.9944444444444445,1.0,0.9916666666666667,1.0,0.0025609845714702375,stand+CMAES+kNN,gaussians
15,8,50,diagonal,,2,0.9825,1.0,1.0,1.0,1.0,0.975,0.925,0.975,1.0,0.975,0.975,0.02249999999999999,0.06375770568847657,31.55689642429352,0.008965682983398438,0.9955555555555555,0.9972222222222222,0.9944444444444445,0.9972222222222222,0.9944444444444445,0.9972222222222222,0.9916666666666667,0.9944444444444445,0.9972222222222222,0.9972222222222222,0.9944444444444445,0.0018425693279752156,stand+CMAES+kNN,gaussians
16,8,100,diagonal,,2,0.99,1.0,1.0,0.975,1.0,0.975,0.975,0.975,1.0,1.0,1.0,0.012247448713915901,0.06774256229400635,33.157946014404295,0.00951089859008789,0.9955555555555555,0.9972222222222222,0.9972222222222222,0.9944444444444445,0.9972222222222222,0.9944444444444445,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9944444444444445,0.9888888888888889,0.002545875386086569,stand+CMAES+kNN,gaussians
17,8,250,diagonal,,2,0.9775,1.0,1.0,1.0,1.0,0.975,0.95,0.975,0.9,1.0,0.975,0.030516389039334256,0.07172741889953613,37.159773683547975,0.010056567192077637,0.9933333333333333,0.9916666666666667,0.9916666666666667,0.9944444444444445,0.9861111111111112,1.0,1.0,0.9916666666666667,0.9833333333333333,0.9972222222222222,0.9972222222222222,0.005299662230094145,stand+CMAES+kNN,gaussians
18,1,50,diagonal,,4,0.9875,1.0,1.0,1.0,1.0,0.975,0.95,0.975,1.0,1.0,0.975,0.016770509831248438,0.07571227550506592,38.09861204624176,0.010602569580078125,0.9908333333333333,0.9944444444444445,0.9916666666666667,0.9888888888888889,0.9944444444444445,0.9777777777777777,0.9916666666666667,0.9916666666666667,0.9972222222222222,0.9861111111111112,0.9944444444444445,0.005277777777777786,stand+CMAES+kNN,gaussians
19,1,100,diagonal,,4,0.98,1.0,1.0,1.0,1.0,0.975,0.975,0.975,1.0,0.9,0.975,0.029154759474226497,0.0796971321105957,39.60005519390106,0.011144781112670898,0.9925,0.9916666666666667,0.9916666666666667,0.9944444444444445,0.9888888888888889,0.9944444444444445,0.9944444444444445,0.9972222222222222,0.9888888888888889,0.9916666666666667,0.9916666666666667,0.0024999999999999914,stand+CMAES+kNN,gaussians
20,1,250,diagonal,,4,0.985,1.0,1.0,1.0,1.0,0.975,0.95,0.975,1.0,1.0,0.95,0.020000000000000018,0.08368198871612549,43.193235111236575,0.01168966293334961,0.9925,0.9861111111111112,0.9944444444444445,0.9888888888888889,0.9944444444444445,1.0,0.9944444444444445,0.9972222222222222,0.9916666666666667,0.9916666666666667,0.9861111111111112,0.004312270748961102,stand+CMAES+kNN,gaussians
21,4,50,diagonal,,4,0.9875,1.0,1.0,1.0,0.975,0.975,0.975,0.975,1.0,1.0,0.975,0.012500000000000011,0.08766684532165528,43.9558643579483,0.012236547470092774,0.9919444444444444,0.9916666666666667,0.9888888888888889,0.9944444444444445,0.9861111111111112,0.9972222222222222,0.9916666666666667,0.9944444444444445,0.9888888888888889,0.9916666666666667,0.9944444444444445,0.0031549490810001404,stand+CMAES+kNN,gaussians
22,4,100,diagonal,,4,0.9875,1.0,1.0,1.0,1.0,1.0,0.925,0.975,1.0,1.0,0.975,0.02304886114323221,0.09165170192718505,45.494843578338624,0.012781095504760743,0.9911111111111112,0.9944444444444445,0.9916666666666667,0.9916666666666667,0.9861111111111112,0.9944444444444445,0.9916666666666667,0.9916666666666667,0.9888888888888889,0.9944444444444445,0.9861111111111112,0.002991758226185825,stand+CMAES+kNN,gaussians
23,4,250,diagonal,,4,0.9875,1.0,1.0,1.0,1.0,0.975,0.95,0.975,1.0,1.0,0.975,0.016770509831248438,0.09563655853271484,49.34213016033173,0.013343071937561036,0.9925,0.9888888888888889,0.9916666666666667,0.9944444444444445,0.9888888888888889,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9888888888888889,0.9972222222222222,0.9916666666666667,0.002791632116978015,stand+CMAES+kNN,gaussians
24,8,50,diagonal,,4,0.9875,1.0,1.0,1.0,1.0,0.975,0.95,0.975,1.0,1.0,0.975,0.016770509831248438,0.09962141513824463,50.1367832660675,0.013889145851135255,0.9911111111111112,0.9888888888888889,0.9888888888888889,0.9916666666666667,0.9888888888888889,0.9944444444444445,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.0016666666666666607,stand+CMAES+kNN,gaussians
25,8,100,diagonal,,4,0.985,1.0,1.0,1.0,0.975,0.975,0.95,0.975,1.0,1.0,0.975,0.016583123951777013,0.10360627174377442,51.73783285617829,0.014719343185424805,0.9922222222222222,0.9916666666666667,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9888888888888889,0.9888888888888889,0.002078698548207738,stand+CMAES+kNN,gaussians
26,8,250,diagonal,,4,0.9775,1.0,1.0,1.0,1.0,0.975,0.95,0.975,0.9,1.0,0.975,0.030516389039334256,0.1075911283493042,55.73966052532196,0.015293002128601074,0.9919444444444444,0.9916666666666667,0.9888888888888889,0.9861111111111112,0.9916666666666667,0.9972222222222222,0.9944444444444445,0.9972222222222222,0.9916666666666667,0.9888888888888889,0.9916666666666667,0.0033907098932593497,stand+CMAES+kNN,gaussians
27,1,50,diagonal,,8,0.99,1.0,1.0,1.0,1.0,0.975,0.975,0.975,1.0,1.0,0.975,0.012247448713915901,0.11157598495483398,56.678498888015746,0.015863418579101562,0.9916666666666667,0.9944444444444445,0.9916666666666667,0.9861111111111112,0.9944444444444445,0.9805555555555555,0.9972222222222222,0.9916666666666667,0.9944444444444445,0.9916666666666667,0.9944444444444445,0.004648111258522652,stand+CMAES+kNN,gaussians
28,1,100,diagonal,,8,0.985,1.0,1.0,1.0,1.0,0.975,1.0,0.975,1.0,0.9,1.0,0.029999999999999995,0.11556084156036377,58.17994203567505,0.016431593894958497,0.9911111111111112,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9666666666666667,0.9972222222222222,0.008314794192830984,stand+CMAES+kNN,gaussians
29,1,250,diagonal,,8,0.9875,1.0,1.0,1.0,1.0,1.0,0.95,0.975,1.0,1.0,0.95,0.020155644370746392,0.11954569816589355,61.77312195301056,0.016994380950927736,0.9922222222222222,0.9916666666666667,0.9916666666666667,0.9888888888888889,0.9916666666666667,0.9972222222222222,0.9972222222222222,0.9944444444444445,0.9916666666666667,0.9944444444444445,0.9833333333333333,0.0038888888888889005,stand+CMAES+kNN,gaussians
30,4,50,diagonal,,8,0.9925,1.0,1.0,1.0,0.975,1.0,0.975,0.975,1.0,1.0,1.0,0.01145643923738961,0.12353055477142334,62.53575119972229,0.017545008659362794,0.9927777777777778,0.9944444444444445,0.9916666666666667,0.9916666666666667,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9888888888888889,0.9916666666666667,0.9916666666666667,0.0018425693279752156,stand+CMAES+kNN,gaussians
31,4,100,diagonal,,8,0.9825,1.0,1.0,1.0,1.0,0.975,0.9,0.975,1.0,1.0,0.975,0.02968585521759479,0.12751541137695313,64.07473042011262,0.01811716556549072,0.9919444444444444,0.9944444444444445,0.9916666666666667,0.9916666666666667,0.9944444444444445,1.0,0.9861111111111112,0.9944444444444445,0.9944444444444445,0.9888888888888889,0.9833333333333333,0.004555894296349095,stand+CMAES+kNN,gaussians
32,4,250,diagonal,,8,0.99,1.0,1.0,1.0,1.0,0.975,0.95,0.975,1.0,1.0,1.0,0.016583123951777013,0.1315002679824829,67.92201700210572,0.01868908405303955,0.9927777777777778,0.9888888888888889,0.9972222222222222,0.9972222222222222,0.9944444444444445,0.9944444444444445,0.9916666666666667,0.9888888888888889,0.9916666666666667,0.9888888888888889,0.9944444444444445,0.003093202423794445,stand+CMAES+kNN,gaussians
33,8,50,diagonal,,8,0.9825,1.0,1.0,1.0,1.0,0.975,0.9,0.975,1.0,1.0,0.975,0.02968585521759479,0.1354851245880127,68.7166701078415,0.01928560733795166,0.9938888888888889,0.9888888888888889,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9888888888888889,0.9972222222222222,0.9972222222222222,0.9944444444444445,0.9944444444444445,0.0027216552697590774,stand+CMAES+kNN,gaussians
34,8,100,diagonal,,8,0.9875,1.0,1.0,1.0,1.0,0.95,0.975,0.975,1.0,1.0,0.975,0.016770509831248438,0.13946998119354248,70.31771969795227,0.019830322265625,0.9933333333333333,0.9916666666666667,0.9916666666666667,0.9944444444444445,0.9888888888888889,0.9972222222222222,0.9944444444444445,0.9972222222222222,0.9944444444444445,0.9916666666666667,0.9916666666666667,0.002545875386086569,stand+CMAES+kNN,gaussians
35,8,250,diagonal,,8,0.9825,1.0,1.0,1.0,1.0,0.975,0.95,0.975,0.925,1.0,1.0,0.025124689052802223,0.14345483779907225,74.31954736709595,0.020378303527832032,0.9911111111111112,0.9805555555555555,0.9944444444444445,0.9916666666666667,0.9916666666666667,0.9972222222222222,0.9972222222222222,0.9944444444444445,0.9805555555555555,0.9888888888888889,0.9944444444444445,0.005800170282728103,stand+CMAES+kNN,gaussians
36,1,50,diagonal,,16,0.9825,1.0,1.0,1.0,1.0,0.925,0.975,0.975,1.0,1.0,0.95,0.025124689052802223,0.14743969440460206,75.25838572978974,0.02092776298522949,0.9891666666666666,0.9861111111111112,0.9888888888888889,0.9833333333333333,0.9916666666666667,0.9805555555555555,0.9916666666666667,0.9972222222222222,0.9916666666666667,0.9916666666666667,0.9888888888888889,0.004555894296349109,stand+CMAES+kNN,gaussians
